"","y","eta","c_s","ppi.1","ppi.2","ppi.3","ppi.4","PPi","II","RRi","ARi"
"1",1,-0.839129909271457,1,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,2,1,1,0
"2",2,-0.365690532713483,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,2,2,1,0
"3",4,0.530354441230575,2,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,2,3,1,0
"4",3,0.13018113178357,2,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,2,4,1,0
"5",4,-0.572841399187481,1,0.172971565183259,0.195067320780685,0.197868365907741,0.434092748128316,2,5,1,0
"6",2,-0.639244776585668,1,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,4,1,1,2
"7",2,-0.386871612192903,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,4,2,1,2
"8",1,-0.0796926709639535,1,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,4,3,1,2
"9",2,0.371467173028377,1,0.171981870529791,0.196768299408953,0.200314940037107,0.430934890024149,4,4,1,2
"10",4,0.800010410388338,1,0.172971565183259,0.195067320780685,0.197868365907741,0.434092748128316,4,5,1,2
"11",4,-0.0248104199699198,2,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,7,1,1,4
"12",4,0.55531981355646,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,7,2,1,4
"13",3,0.851189850221014,1,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,7,3,1,4
"14",2,-0.583217723037774,1,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,7,4,1,4
"15",4,-0.0902652372429513,1,0.172971565183259,0.195067320780684,0.197868365907741,0.434092748128316,7,5,1,4
"16",2,0.224819645423924,2,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,9,1,1,7
"17",2,-0.805553179049799,1,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,9,2,1,7
"18",4,0.496832819614063,2,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224568,9,3,1,7
"19",2,0.717503309970236,2,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,9,4,1,7
"20",1,0.187924867844049,1,0.172971565183259,0.195067320780684,0.197868365907741,0.434092748128316,9,5,1,7
"21",3,-0.37191543450181,2,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,10,1,1,9
"22",3,-0.1101428669486,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,10,2,1,9
"23",1,0.440511315658149,2,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,10,3,1,9
"24",4,-0.322119069930323,2,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,10,4,1,9
"25",4,-0.350105955055012,2,0.172971565183259,0.195067320780684,0.197868365907741,0.434092748128316,10,5,1,9
"26",3,-1.82960722183623,1,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,11,1,1,10
"27",4,0.00914308553220547,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,11,2,1,10
"28",2,-1.31100565017591,1,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,11,3,1,10
"29",4,-0.0312768437261122,2,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,11,4,1,10
"30",4,1.61341659025409,1,0.172971565183259,0.195067320780684,0.197868365907741,0.434092748128316,11,5,1,10
"31",4,-0.394126258147872,1,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,12,1,1,11
"32",4,0.55335694010779,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,12,2,1,11
"33",2,-0.256426298980214,2,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224568,12,3,1,11
"34",2,3.00611101455317,1,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,12,4,1,11
"35",4,-1.00556874495632,1,0.172971565183259,0.195067320780684,0.197868365907741,0.434092748128316,12,5,1,11
"36",4,0.208655731353812,1,0.174130033484249,0.192303354133441,0.194184167207745,0.439382445174565,13,1,1,12
"37",4,0.311910936495082,2,0.17303200165285,0.194949505766974,0.197704490671665,0.434314001908511,13,2,1,12
"38",4,-0.0323734182206171,1,0.172259318645117,0.196328399398791,0.199666951731524,0.431745330224569,13,3,1,12
"39",4,-0.334716592265538,2,0.171981870529791,0.196768299408954,0.200314940037107,0.430934890024148,13,4,1,12
