"","c.1L..1L..1L..2L..1L..1L..3L..3L..3L..2L..2L..2L..3L..2L..2L..","c.1L..1L..1L..2L..2L..2L..3L..3L..3L..4L..4L..4L..5L..5L..5L..","c.1L..2L..5L..1L..2L..5L..1L..2L..5L..1L..2L..5L..1L..2L..5L..","c.1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..","c..0....0....0....0....0....0....0....0....0....0....0....0...","X4L","X2698L","X5L","X30L"
"1",1,1,1,1,"0",4,2698,5,30
"2",1,1,2,1,"0",4,2698,5,30
"3",1,1,5,1,"0",4,2698,5,30
"4",2,2,1,1,"0",4,2698,5,30
"5",1,2,2,1,"0",4,2698,5,30
"6",1,2,5,1,"0",4,2698,5,30
"7",3,3,1,1,"0",4,2698,5,30
"8",3,3,2,1,"0",4,2698,5,30
"9",3,3,5,1,"0",4,2698,5,30
"10",2,4,1,1,"0",4,2698,5,30
"11",2,4,2,1,"0",4,2698,5,30
"12",2,4,5,1,"0",4,2698,5,30
"13",3,5,1,1,"0",4,2698,5,30
"14",2,5,2,1,"0",4,2698,5,30
"15",2,5,5,1,"0",4,2698,5,30
"16",2,6,1,1,"0",4,2698,5,30
"17",2,6,2,1,"0",4,2698,5,30
"18",2,6,5,1,"0",4,2698,5,30
"19",2,7,1,1,"0",4,2698,5,30
"20",2,7,2,1,"0",4,2698,5,30
"21",2,7,5,1,"0",4,2698,5,30
"22",0,8,1,1,"0",4,2698,5,30
"23",1,8,2,1,"0",4,2698,5,30
"24",1,8,5,1,"0",4,2698,5,30
"25",0,9,1,1,"0",4,2698,5,30
"26",2,9,2,1,"0",4,2698,5,30
"27",3,9,5,1,"0",4,2698,5,30
"28",1,10,1,1,"0",4,2698,5,30
"29",2,10,2,1,"0",4,2698,5,30
"30",2,10,5,1,"0",4,2698,5,30
"31",0,11,1,1,"0",4,2698,5,30
"32",2,11,2,1,"0",4,2698,5,30
"33",2,11,5,1,"0",4,2698,5,30
"34",2,12,1,1,"0",4,2698,5,30
"35",0,12,2,1,"0",4,2698,5,30
"36",0,12,5,1,"0",4,2698,5,30
"37",2,13,1,1,"0",4,2698,5,30
"38",2,13,2,1,"0",4,2698,5,30
"39",2,13,5,1,"0",4,2698,5,30
"40",0,14,1,1,"0",4,2698,5,30
"41",2,14,2,1,"0",4,2698,5,30
"42",2,14,5,1,"0",4,2698,5,30
"43",3,15,1,1,"0",4,2698,5,30
"44",3,15,2,1,"0",4,2698,5,30
"45",3,15,5,1,"0",4,2698,5,30
"46",2,16,1,1,"0",4,2698,5,30
"47",2,16,2,1,"0",4,2698,5,30
"48",3,16,5,1,"0",4,2698,5,30
"49",0,17,1,1,"0",4,2698,5,30
"50",2,17,2,1,"0",4,2698,5,30
"51",0,17,5,1,"0",4,2698,5,30
"52",2,18,1,1,"0",4,2698,5,30
"53",2,18,2,1,"0",4,2698,5,30
"54",2,18,5,1,"0",4,2698,5,30
"55",2,19,1,1,"0",4,2698,5,30
"56",2,19,2,1,"0",4,2698,5,30
"57",2,19,5,1,"0",4,2698,5,30
"58",2,20,1,1,"0",4,2698,5,30
"59",0,20,2,1,"0",4,2698,5,30
"60",0,20,5,1,"0",4,2698,5,30
"61",2,21,1,1,"0",4,2698,5,30
"62",2,21,2,1,"0",4,2698,5,30
"63",1,21,5,1,"0",4,2698,5,30
"64",2,22,1,1,"0",4,2698,5,30
"65",0,22,2,1,"0",4,2698,5,30
"66",0,22,5,1,"0",4,2698,5,30
"67",1,23,1,1,"0",4,2698,5,30
"68",2,23,2,1,"0",4,2698,5,30
"69",2,23,5,1,"0",4,2698,5,30
"70",2,24,1,1,"0",4,2698,5,30
"71",1,24,2,1,"0",4,2698,5,30
"72",2,24,5,1,"0",4,2698,5,30
"73",2,25,1,1,"0",4,2698,5,30
"74",0,25,2,1,"0",4,2698,5,30
"75",2,25,5,1,"0",4,2698,5,30
"76",2,26,1,1,"0",4,2698,5,30
"77",2,26,2,1,"0",4,2698,5,30
"78",2,26,5,1,"0",4,2698,5,30
"79",2,27,1,1,"0",4,2698,5,30
"80",2,27,2,1,"0",4,2698,5,30
"81",2,27,5,1,"0",4,2698,5,30
"82",2,28,1,1,"0",4,2698,5,30
"83",2,28,2,1,"0",4,2698,5,30
"84",1,28,5,1,"0",4,2698,5,30
"85",2,29,1,1,"0",4,2698,5,30
"86",2,29,2,1,"0",4,2698,5,30
"87",2,29,5,1,"0",4,2698,5,30
"88",2,30,1,1,"0",4,2698,5,30
"89",2,30,2,1,"0",4,2698,5,30
"90",2,30,5,1,"0",4,2698,5,30
"91",1,1,1,2,"1",4,2698,5,30
"92",2,1,2,2,"1",4,2698,5,30
"93",2,1,5,2,"1",4,2698,5,30
"94",2,2,1,2,"1",4,2698,5,30
"95",2,2,2,2,"1",4,2698,5,30
"96",2,2,5,2,"1",4,2698,5,30
"97",3,3,1,2,"1",4,2698,5,30
"98",3,3,2,2,"1",4,2698,5,30
"99",3,3,5,2,"1",4,2698,5,30
"100",2,4,1,2,"1",4,2698,5,30
"101",2,4,2,2,"1",4,2698,5,30
"102",2,4,5,2,"1",4,2698,5,30
"103",3,5,1,2,"1",4,2698,5,30
"104",3,5,2,2,"1",4,2698,5,30
"105",3,5,5,2,"1",4,2698,5,30
"106",2,6,1,2,"1",4,2698,5,30
"107",2,6,2,2,"1",4,2698,5,30
"108",2,6,5,2,"1",4,2698,5,30
"109",2,7,1,2,"1",4,2698,5,30
"110",2,7,2,2,"1",4,2698,5,30
"111",2,7,5,2,"1",4,2698,5,30
"112",0,8,1,2,"1",4,2698,5,30
"113",1,8,2,2,"1",4,2698,5,30
"114",0,8,5,2,"1",4,2698,5,30
"115",0,9,1,2,"1",4,2698,5,30
"116",0,9,2,2,"1",4,2698,5,30
"117",2,9,5,2,"1",4,2698,5,30
"118",1,10,1,2,"1",4,2698,5,30
"119",1,10,2,2,"1",4,2698,5,30
"120",1,10,5,2,"1",4,2698,5,30
"121",0,11,1,2,"1",4,2698,5,30
"122",2,11,2,2,"1",4,2698,5,30
"123",0,11,5,2,"1",4,2698,5,30
"124",2,12,1,2,"1",4,2698,5,30
"125",2,12,2,2,"1",4,2698,5,30
"126",2,12,5,2,"1",4,2698,5,30
"127",2,13,1,2,"1",4,2698,5,30
"128",2,13,2,2,"1",4,2698,5,30
"129",2,13,5,2,"1",4,2698,5,30
"130",0,14,1,2,"1",4,2698,5,30
"131",2,14,2,2,"1",4,2698,5,30
"132",1,14,5,2,"1",4,2698,5,30
"133",3,15,1,2,"1",4,2698,5,30
"134",3,15,2,2,"1",4,2698,5,30
"135",3,15,5,2,"1",4,2698,5,30
"136",2,16,1,2,"1",4,2698,5,30
"137",2,16,2,2,"1",4,2698,5,30
"138",2,16,5,2,"1",4,2698,5,30
"139",0,17,1,2,"1",4,2698,5,30
"140",2,17,2,2,"1",4,2698,5,30
"141",0,17,5,2,"1",4,2698,5,30
"142",2,18,1,2,"1",4,2698,5,30
"143",2,18,2,2,"1",4,2698,5,30
