Item,Rater,Examinee1,Examinee2,Examinee3,Examinee4,Examinee5,Examinee6,Examinee7,Examinee8,Examinee9,Examinee10,Examinee11,Examinee12,Examinee13,Examinee14,Examinee15,Examinee16,Examinee17,Examinee18,Examinee19,Examinee20,Examinee21,Examinee22,Examinee23,Examinee24,Examinee25,Examinee26,Examinee27,Examinee28,Examinee29,Examinee30
1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,2
1,5,1,2,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,
2,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2
2,5,1,2,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
3,1,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,2,1,2,3,2,3
3,2,3,3,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,1,3,3,3,3
3,5,3,3,3,3,3,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,2,3
4,1,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
4,2,2,2,2,2,2,2,2,0,2,1,,,,,,,,,,,,,,,,,,,,
4,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2
4,5,2,2,1,2,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
5,1,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,2
5,2,2,3,2,2,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,
5,3,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
5,4,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,3,3,3,3,2
