"","y","eta","c_s","ppi.1","ppi.2","ppi.3","ppi.4","PPi","II","RRi","ARi","lambda","beta","delta","tau.1","tau.2","phi"
"1",4,1.2735787099224,2,0.000258521267760506,0.0381538179905864,0.141307850294256,0.820279810447397,1,1,1,0,0.278273684146734,-0.504881806802586,3.36776473870934,-0.211833603383945,-0.133659978299199,-0.348557525800724
"2",3,0.0918083578741706,1,0.0143250411910332,0.193568096703557,0.27564537996558,0.516461482139829,1,2,1,0,-0.21503080048125,0.27870542679529,-0.585644413516335,-1.0415911337336,0.520213629772526,-0.264990596638778
"3",4,-1.35602448355357,2,0.00106840872482251,0.0953899736169168,0.205612113018812,0.697929504639449,1,3,1,0,0.288719902556351,0.0843907569855494,-0.10353350945666,-1.1533075572692,0.153388684729037,-0.10958677630699
"4",2,1.00352069476112,2,0.00032709762689648,0.0694896003882428,0.174810782325296,0.755372519659565,1,4,1,0,0.463765374601969,0.0776294291508559,3.36776473870934,0.321531497643745,0.0298935109659999,-0.291276855170601
"5",3,0.936804609879118,2,0.0500536721477857,0.223177503068812,0.28968667563735,0.437082149146053,1,5,1,0,-0.815728160823804,0.0641561938708907,-0.585644413516335,3.58533067269739,-0.0173673331188809,1.01441175391709
"6",4,1.26070182057624,2,0.000516215279128334,0.0592308659232799,0.17055005672791,0.769702862069682,4,1,1,1,0.278273684146734,-0.504881806802586,-0.10353350945666,-0.211833603383945,-0.133659978299199,-0.348557525800724
"7",4,0.782207260315846,1,0.0202137723701606,0.234223868686268,0.286018396000523,0.459543962943048,4,2,1,1,-0.21503080048125,0.27870542679529,3.36776473870934,-1.0415911337336,0.520213629772526,-0.264990596638778
"8",4,-1.39029533734557,1,0.00203878957888089,0.141144901469351,0.235905816777117,0.620910492174652,4,3,1,1,0.288719902556351,0.0843907569855494,-0.585644413516335,-1.1533075572692,0.153388684729037,-0.10958677630699
"9",4,0.632281300284134,1,0.000724730142453521,0.11371370191854,0.211278474740402,0.674283093198605,4,4,1,1,0.463765374601969,0.0776294291508559,-0.10353350945666,0.321531497643745,0.0298935109659999,-0.291276855170601
"10",3,2.87434018113975,1,0.0596339938706643,0.244398461004636,0.291586003298422,0.404381541826277,4,5,1,1,-0.815728160823804,0.0641561938708907,3.36776473870934,3.58533067269739,-0.0173673331188809,1.01441175391709
"11",4,0.80230928445634,1,0.000610556462044998,0.0658317119515414,0.178127521592745,0.755430209993669,5,1,1,4,0.278273684146734,-0.504881806802586,-0.585644413516335,-0.211833603383945,-0.133659978299199,-0.348557525800724
"12",3,1.19494964206119,1,0.021950559690224,0.244871478731559,0.28787890829752,0.445299053280697,5,2,1,4,-0.21503080048125,0.27870542679529,-0.10353350945666,-1.0415911337336,0.520213629772526,-0.264990596638778
"13",2,-0.663022381335562,1,0.00237937963135524,0.154690986819337,0.242799028791259,0.600130604758048,5,3,1,4,0.288719902556351,0.0843907569855494,3.36776473870934,-1.1533075572692,0.153388684729037,-0.10958677630699
"14",3,1.58246498427057,2,0.000876565834264854,0.127617024723628,0.220008101038233,0.651498308403874,5,4,1,4,0.463765374601969,0.0776294291508559,-0.585644413516335,0.321531497643745,0.0298935109659999,-0.291276855170601
"15",3,-2.83978803765524,2,0.0622109637465633,0.249705012929164,0.291777116986281,0.396306906337992,5,5,1,4,-0.815728160823804,0.0641561938708907,-0.10353350945666,3.58533067269739,-0.0173673331188809,1.01441175391709
"16",4,-1.68038800516161,1,0.000267293530893189,0.038977804290477,0.142637215672514,0.818117686506116,6,1,1,5,0.278273684146734,-0.504881806802586,3.36776473870934,-0.211833603383945,-0.133659978299199,-0.348557525800724
"17",3,0.507571118873675,2,0.0145676810817207,0.195409358844346,0.276235399105511,0.513787560968422,6,2,1,5,-0.21503080048125,0.27870542679529,-0.585644413516335,-1.0415911337336,0.520213629772526,-0.264990596638778
"18",2,-0.377977799738391,2,0.00110260801149878,0.0972565597111674,0.207108215738032,0.694532616539301,6,3,1,5,0.288719902556351,0.0843907569855494,-0.10353350945666,-1.1533075572692,0.153388684729037,-0.10958677630699
"19",3,1.11631186512491,2,0.000340025558158497,0.0711997971866026,0.176543581271448,0.751916595983791,6,4,1,5,0.463765374601969,0.0776294291508559,3.36776473870934,0.321531497643745,0.0298935109659999,-0.291276855170601
"20",2,0.342867110679709,1,0.0504804106322276,0.224177343145027,0.289817224137246,0.435525022085499,6,5,1,5,-0.815728160823804,0.0641561938708907,-0.585644413516335,3.58533067269739,-0.0173673331188809,1.01441175391709
"21",3,0.705259278640289,1,0.000896017887381946,0.0836454108312922,0.195953992638613,0.719504578642713,7,1,1,6,0.278273684146734,-0.504881806802586,-0.10353350945666,-0.211833603383945,-0.133659978299199,-0.348557525800724
"22",4,-0.624793013539503,2,0.0264589529527324,0.270303214693848,0.291010597785307,0.412227234568113,7,2,1,6,-0.21503080048125,0.27870542679529,3.36776473870934,-1.0415911337336,0.520213629772526,-0.264990596638778
"23",4,0.269772052169637,2,0.00337364257850302,0.189609140786111,0.257276510094823,0.549740706540562,7,3,1,6,0.288719902556351,0.0843907569855494,-0.585644413516335,-1.1533075572692,0.153388684729037,-0.10958677630699
"24",4,-1.29915447192169,1,0.00134681248747283,0.164851195100174,0.238936802032161,0.594865190380192,7,4,1,6,0.463765374601969,0.0776294291508559,-0.10353350945666,0.321531497643745,0.0298935109659999,-0.291276855170601
"25",2,-1.1100087988393,1,0.0685159420461799,0.26205609827833,0.291783375227339,0.377644584448152,7,5,1,6,-0.815728160823804,0.0641561938708907,3.36776473870934,3.58533067269739,-0.0173673331188809,1.01441175391709
"26",4,0.733051058289443,1,0.00128940659256641,0.104670069493067,0.213226755164268,0.680813768750098,9,1,1,7,0.278273684146734,-0.504881806802586,-0.585644413516335,-0.211833603383945,-0.133659978299199,-0.348557525800724
